2022-07-14 17:35:48 WARNING 127.0.0.1       Cotizacion::validate action abandonned: already validated
2022-07-14 17:37:35 WARNING 127.0.0.1       Cotizacion::validate action abandonned: already validated
2022-07-14 17:37:38 WARNING 127.0.0.1       Facture::fetchInvoice with id=5 or ref= or ref_ext= not found
2022-07-14 17:38:18 WARNING 127.0.0.1       Cotizacion::validate action abandonned: already validated
2022-07-14 17:38:51 WARNING 127.0.0.1       Facture::fetchInvoice with id=5 or ref= or ref_ext= not found
2022-07-14 17:54:58 WARNING 127.0.0.1       Facture::fetchInvoice with id=5 or ref= or ref_ext= not found
2022-07-14 17:55:39 WARNING 127.0.0.1       Facture::fetchInvoice with id=5 or ref= or ref_ext= not found
2022-07-14 17:55:45 WARNING 127.0.0.1       Facture::fetchInvoice with id=5 or ref= or ref_ext= not found
2022-07-14 17:56:45 WARNING 127.0.0.1       Facture::fetchInvoice with id=5 or ref=ertoerij or ref_ext= not found
2022-07-21 15:13:11 ERR     ::1              DoliDBMysqli::query SQL Error query: INSERT INTO llx_propal (fk_soc, price, remise, remise_percent, remise_absolue, total_tva, total_ttc, datep, datec, ref, fk_user_author, note_private, note_public, model_pdf, fin_validite, fk_cond_reglement, deposit_percent, fk_mode_reglement, fk_account, ref_client, date_livraison, fk_shipping_method, fk_warehouse, fk_availability, fk_input_reason, fk_projet, fk_incoterms, location_incoterms, entity, fk_multicurrency, multicurrency_code, multicurrency_tx)  VALUES (, 0, 0, NULL, NULL, 0, 0, '2021-12-01 00:00:00', '2022-07-21 17:13:11', '(PROV)', 7, '', '', '', '2021-12-16 00:00:00', NULL, NULL, NULL, NULL, '', NULL, NULL, NULL, 0, 0, null, 0, '', 1, 0, 'ARS', 1)
2022-07-21 15:13:11 ERR     ::1              DoliDBMysqli::query SQL Error message: DB_ERROR_SYNTAX You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near ' 0, 0, NULL, NULL, 0, 0, '2021-12-01 00:00:00', '2022-07-21 17:13:11', '(PROV...' at line 1
2022-07-21 15:13:21 WARNING ::1             Failed to make include_once 
2022-07-21 15:13:29 WARNING ::1             Failed to make include_once 
2022-07-21 15:14:21 WARNING ::1             Failed to make include_once 
2022-07-21 15:15:41 WARNING ::1             Failed to make include_once 
2022-07-21 15:48:11 WARNING ::1             Failed to make include_once 
2022-07-21 16:01:38 WARNING ::1             Failed to make include_once 
2022-07-21 16:03:06 WARNING ::1             Failed to make include_once 
2022-07-21 16:05:20 WARNING ::1             Failed to make include_once 
